split_id,iteration,is_lookahead,p1x,p1y,p2x,p2y,p3x,p3y,split_sx,split_sy,split_tx,split_ty,c1_1x,c1_1y,c1_2x,c1_2y,c1_3x,c1_3y,c2_1x,c2_1y,c2_2x,c2_2y,c2_3x,c2_3y
119,121,1,993054446,1003338250,994876431,996003655,995099438,995998702,994876431,996003655,995096956,996007610,994876431,996003655,995099438,995998702,995096956,996007610,994876431,996003655,995096956,996007610,993054446,1003338250
120,122,1,994104658,996020795,994107070,996003992,994580609,996001467,994104658,996020795,994389005,996002489,994104658,996020795,994107070,996003992,994389005,996002489,994104658,996020795,994389005,996002489,994580609,996001467
121,123,1,994104658,996020795,994580609,996001467,995099438,995998702,995099438,995998702,994278842,996013722,995099438,995998702,994104658,996020795,994278842,996013722,995099438,995998702,994278842,996013722,994580609,996001467
122,124,1,995096000,996011039,995638753,995995827,995636826,996001302,995638753,995995827,995365475,996006187,995638753,995995827,995636826,996001302,995365475,996006187,995638753,995995827,995365475,996006187,995096000,996011039
123,125,1,995096000,996011039,995636826,996001302,993054446,1003338250,995636826,996001302,994683398,997491882,995636826,996001302,993054446,1003338250,994683398,997491882,995636826,996001302,994683398,997491882,995096000,996011039
124,126,1,995099438,995998702,995638753,995995827,995213638,996007742,995638753,995995827,995189229,996005809,995638753,995995827,995213638,996007742,995189229,996005809,995638753,995995827,995189229,996005809,995099438,995998702
125,127,1,995099438,995998702,995213638,996007742,995096000,996011039,995213638,996007742,995097883,996004283,995213638,996007742,995096000,996011039,995097883,996004283,995213638,996007742,995097883,996004283,995099438,995998702
126,128,1,989969571,996026048,993054823,1004234264,990095244,996636450,989969571,996026048,990458075,997567909,989969571,996026048,993054823,1004234264,990458075,997567909,989969571,996026048,990458075,997567909,990095244,996636450
127,129,1,989969571,996026048,990095244,996636450,989857706,996026644,989969571,996026048,990004655,996403891,989969571,996026048,990095244,996636450,990004655,996403891,989969571,996026048,990004655,996403891,989857706,996026644
128,130,1,989969571,996026048,990059285,996025570,990316683,996730919,990316683,996730919,990025740,996025748,990316683,996730919,989969571,996026048,990025740,996025748,990316683,996730919,990025740,996025748,990059285,996025570
129,131,1,989969571,996026048,990316683,996730919,993054823,1004234264,989969571,996026048,991006118,998620183,989969571,996026048,990316683,996730919,991006118,998620183,989969571,996026048,991006118,998620183,993054823,1004234264
130,132,1,993054823,1004234264,990059285,996025570,990156572,996025051,993054823,1004234264,990066852,996025529,993054823,1004234264,990059285,996025570,990066852,996025529,993054823,1004234264,990066852,996025529,990156572,996025051
131,133,1,993054823,1004234264,990156572,996025051,990195396,996024844,993054823,1004234264,990165657,996025003,993054823,1004234264,990156572,996025051,990165657,996025003,993054823,1004234264,990165657,996025003,990195396,996024844
132,134,1,993054823,1004234264,990195396,996024844,990222114,996024702,993054823,1004234264,990204821,996024794,993054823,1004234264,990195396,996024844,990204821,996024794,993054823,1004234264,990204821,996024794,990222114,996024702
133,135,1,993054823,1004234264,990222114,996024702,990288075,996024350,993054823,1004234264,990254841,996024527,993054823,1004234264,990222114,996024702,990254841,996024527,993054823,1004234264,990254841,996024527,990288075,996024350
134,138,1,990288075,996024350,990841915,996024999,990842811,996028324,990288075,996024350,990842347,996026603,990288075,996024350,990841915,996024999,990842347,996026603,990288075,996024350,990842347,996026603,990842811,996028324
135,139,1,990288075,996024350,990842811,996028324,993054823,1004234264,990288075,996024350,990846716,996042812,990288075,996024350,990842811,996028324,990846716,996042812,990288075,996024350,990846716,996042812,993054823,1004234264
136,140,1,991028044,996020405,993054823,1004234264,990842515,996027226,991028044,996020405,990849545,996053307,991028044,996020405,993054823,1004234264,990849545,996053307,991028044,996020405,990849545,996053307,990842515,996027226
