triangle_id,edge_idx,sx,sy,tx,ty
1053,0,-96.5554,42.039,-96.5551,42.0281
1054,0,-96.5554,42.0451,-96.5554,42.039
1055,0,-96.5554,42.0562,-96.5554,42.0517
1060,0,-96.5812,42.09,-96.5795,42.09
1061,0,-96.5795,42.09,-96.5785,42.09
1062,0,-96.5785,42.09,-96.575,42.09
1063,0,-96.575,42.09,-96.5727,42.09
1064,0,-96.5727,42.09,-96.5716,42.09
1065,0,-96.5716,42.09,-96.5704,42.09
1066,0,-96.5704,42.09,-96.5624,42.09
1071,0,-96.5555,42.09,-96.5555,42.0895
1072,0,-96.6577,42.0901,-96.6574,42.0901
1073,0,-96.658,42.0901,-96.6577,42.0901
1074,0,-96.6242,42.0901,-96.6238,42.0901
1075,0,-96.625,42.0901,-96.6242,42.0901
1076,0,-96.5924,42.09,-96.5916,42.09
1077,0,-96.7275,42.0902,-96.7251,42.0902
1078,0,-96.7251,42.0902,-96.7227,42.0902
1079,0,-96.7572,42.0903,-96.7553,42.0903
1080,0,-96.7468,42.0902,-96.7455,42.0902
1081,0,-96.7455,42.0902,-96.7438,42.0902
1082,0,-96.6949,42.0902,-96.6916,42.0902
1083,0,-96.6968,42.0902,-96.6949,42.0902
1084,0,-96.7088,42.0902,-96.7066,42.0902
1085,0,-96.6748,42.0901,-96.6745,42.0901
1086,0,-96.9986,42.0905,-96.9977,42.0905
1088,0,-97.0196,42.0475,-97.0196,42.0505
1089,0,-97.0197,41.9668,-97.0197,41.9741
1090,0,-97.0196,41.9852,-97.0196,41.9879
1091,0,-96.5552,41.8434,-96.5553,41.8289
1092,0,-96.5553,41.8289,-96.5552,41.8276
1093,0,-96.5552,41.8243,-96.5552,41.8222
1094,0,-96.5552,41.8222,-96.5552,41.8204
1095,0,-96.5552,41.8,-96.5552,41.7955
1096,0,-96.5552,41.8059,-96.5552,41.8
1097,0,-96.5553,41.876,-96.5553,41.8724
1098,0,-96.5553,41.8664,-96.5553,41.8579
1099,0,-96.5553,41.8724,-96.5553,41.8664
1100,0,-96.5552,41.8978,-96.5552,41.8965
1101,0,-96.5552,41.8965,-96.5552,41.8955
1102,0,-96.5553,41.8832,-96.5553,41.8816
1103,0,-96.5552,41.9194,-96.5552,41.9179
1104,0,-96.5552,41.9159,-96.5552,41.9141
1105,0,-96.5552,41.9179,-96.5552,41.9159
1106,0,-96.5552,41.9501,-96.5551,41.949
1107,0,-96.5552,41.9978,-96.5552,41.9965
1108,0,-96.5624,42.09,-96.5613,42.09
